Variable,mean_bac_stock_complete,median_bac_stock_complete
open,23.778889145452965,23.03125
high,24.050311993504035,23.40625
low,23.50215136654521,22.6875
close,23.777464277380915,23.02500057220459
volume,51538174.79732469,14491550
