year,mean_population_yearwise
1995,26969373.41981132
1996,27341963.5
1997,27707444.547169812
1998,28067967.198113207
1999,28426364.849056605
2000,28784898.778301887
2001,29144376.226415094
2002,29370694.286384977
2003,29731778.2629108
2004,30095631.78403756
2005,30320414.710280374
2006,30689434.906542055
2007,31062044.887850467
2008,31437847.457943924
2009,31816165.93457944
2010,31898198.77314815
2011,32127728.244239632
2012,32505457.62672811
2013,32883080.580645163
